JobID|JobIDRaw|State|ExitCode|Submit|Start|End|Elapsed
6915240_0|6915306|FAILED|1:0|2026-08-20T20:47:34|2026-08-20T21:21:31|2026-08-20T21:21:52|00:00:21
6915240_1|6915312|FAILED|1:0|2026-08-20T20:47:34|2026-08-20T21:22:01|2026-08-20T21:22:19|00:00:18
6915240_2|6915315|FAILED|1:0|2026-08-20T20:47:34|2026-08-20T21:23:00|2026-08-20T21:23:07|00:00:07
6915240_3|6915317|CANCELLED by 51204|0:0|2026-08-20T20:47:34|2026-08-20T21:23:30|2026-08-20T21:27:15|00:03:45
6915240_[4-8]|6915240|CANCELLED by 51204|0:0|2026-08-20T20:47:34|None|2026-08-20T21:27:15|00:00:00
6915241_[0-8]|6915241|CANCELLED by 51204|0:0|2026-08-20T20:47:35|None|2026-08-20T21:27:15|00:00:00
6915242_[0-8]|6915242|CANCELLED by 51204|0:0|2026-08-20T20:47:37|None|2026-08-20T21:27:15|00:00:00
6915243|6915243|CANCELLED by 51204|0:0|2026-08-20T20:47:44|None|2026-08-20T21:27:15|00:00:00
